City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Katobu,ID,-4.9408,122.5276,76.86,91,100,2.19,overcast clouds
183,Mankera,PK,31.3866,71.4407,54.77,28,0,4.09,clear sky
184,Rayagada,IN,19.1667,83.4167,64.76,61,100,3.47,overcast clouds
185,Young,UY,-32.6833,-57.6333,86.23,43,27,6.53,scattered clouds
186,Mount Isa,AU,-20.7333,139.5,85.77,51,72,8.05,light rain
187,Antsohihy,MG,-14.8796,47.9875,83.28,61,39,8.86,scattered clouds
188,Sinnamary,GF,5.3833,-52.95,80.44,83,76,6.35,broken clouds
189,Leshukonskoye,RU,64.8989,45.7622,23.74,96,100,7.38,light snow
190,Provideniya,RU,64.3833,-173.3,-0.89,96,100,26.69,snow
191,Iki-Burul,RU,45.8208,44.6472,37.74,92,100,8.84,overcast clouds
192,Qaanaaq,GL,77.484,-69.3632,-2.51,71,0,6.42,clear sky
193,Mangai,CD,-4.05,19.5333,82.02,70,99,2.64,light rain
194,Zaria,NG,11.1113,7.7227,87.06,11,83,9.42,broken clouds
195,Alexandria,EG,31.2156,29.9553,62.38,65,11,17.0,few clouds
196,Plast,RU,54.3691,60.8136,21.16,82,84,9.01,broken clouds
197,Umm Kaddadah,SD,13.6017,26.6876,83.62,19,74,14.27,broken clouds
198,Laizhou,CN,37.1717,119.9214,42.87,54,100,3.74,overcast clouds
199,Iwamizawa,JP,43.2003,141.7597,33.85,67,83,8.84,light snow
200,Soyo,AO,-6.1349,12.3689,86.05,73,100,9.06,overcast clouds
201,Richards Bay,ZA,-28.783,32.0377,80.62,73,68,15.82,light rain
202,Eyl,SO,7.9803,49.8164,77.36,77,18,19.6,few clouds
203,Vila,PT,42.0304,-8.1588,55.33,47,3,2.48,clear sky
204,Farafangana,MG,-22.8167,47.8333,79.84,74,2,12.15,clear sky
205,Maues,BR,-3.3836,-57.7186,82.18,87,91,1.07,overcast clouds
206,Kismayo,SO,-0.3582,42.5454,81.14,75,56,11.54,broken clouds
207,Nantucket,US,41.2835,-70.0995,45.03,69,86,8.61,overcast clouds
208,Clyde River,CA,70.4692,-68.5914,-16.37,83,20,3.44,few clouds
209,Kaseda,JP,31.4167,130.3167,44.85,66,28,5.19,scattered clouds
210,Pong,TH,19.1493,100.2752,66.58,80,10,0.92,clear sky
211,Nishihara,JP,26.1842,127.7558,67.68,68,20,8.05,few clouds
212,Marsh Harbour,BS,26.5412,-77.0636,75.45,75,67,25.52,broken clouds
213,Leningradskiy,RU,69.3833,178.4167,-26.64,99,99,8.86,overcast clouds
214,Karratha,AU,-20.7377,116.8463,81.54,60,0,12.82,clear sky
215,Labuhan,ID,-6.8844,112.2051,78.42,86,100,6.02,overcast clouds
216,Lardos,GR,36.0942,28.0157,58.82,59,67,4.83,broken clouds
217,Amahai,ID,-3.3333,128.9167,80.15,84,92,2.46,overcast clouds
218,Naze,JP,28.3667,129.4833,62.94,65,38,10.02,scattered clouds
219,Pisco,PE,-13.7,-76.2167,69.85,83,40,8.05,scattered clouds
220,Marzuq,YE,14.4,46.4667,67.57,28,0,5.82,clear sky
221,Carmo Do Cajuru,BR,-20.1842,-44.7711,71.53,90,100,6.67,overcast clouds
222,Arkhipo-Osipovka,RU,44.37,38.52,51.87,66,96,8.12,overcast clouds
223,Fort Nelson,CA,58.8053,-122.7002,-29.61,75,90,2.3,light snow
224,Grand-Santi,GF,4.25,-54.3833,86.97,58,86,3.71,overcast clouds
225,Belmonte,BR,-15.8631,-38.8828,82.9,70,85,8.75,overcast clouds
226,Tual,ID,-5.6667,132.75,84.34,71,44,7.65,scattered clouds
227,Fairbanks,US,64.8378,-147.7164,-27.4,62,20,0.0,few clouds
228,Chuy,UY,-33.6971,-53.4616,71.24,77,100,9.84,overcast clouds
229,Longview,US,32.5007,-94.7405,72.21,83,75,1.01,broken clouds
230,Rio Cuarto,AR,-33.1307,-64.3499,76.68,56,0,5.75,clear sky
231,Sabzevar,IR,36.2126,57.6819,36.68,48,0,9.22,clear sky
232,Usogorsk,RU,63.4106,48.6872,22.42,94,100,8.12,overcast clouds
233,Airai,TL,-8.9266,125.4092,61.74,85,39,1.16,scattered clouds
234,Qaqortoq,GL,60.7167,-46.0333,28.9,80,100,5.79,overcast clouds
235,Lodwar,KE,3.1191,35.5973,92.79,29,62,16.8,broken clouds
236,Kriel,ZA,-26.2739,29.2253,76.8,31,69,9.69,broken clouds
237,Maniitsoq,GL,65.4167,-52.9,23.02,72,100,3.31,overcast clouds
238,Pangody,RU,65.85,74.4859,-7.56,98,93,8.57,overcast clouds
239,Russell,US,32.3502,-85.1999,56.97,83,7,8.32,clear sky
240,Torbay,CA,47.6666,-52.7314,23.58,73,90,20.71,light shower snow
241,Atasu,KZ,48.6814,71.6433,12.02,82,100,7.09,overcast clouds
242,Pangai,TO,-19.8,-174.35,80.71,74,2,13.0,clear sky
243,Plettenberg Bay,ZA,-34.0527,23.3716,63.21,81,100,13.89,light rain
244,Bouna,CI,9.2667,-3.0,99.21,18,95,5.91,overcast clouds
245,Carballo,ES,43.213,-8.691,58.01,76,1,1.63,clear sky
246,Suwannaphum,TH,15.6035,103.8021,73.4,64,83,5.95,broken clouds
247,Ngaoundere,CM,7.3167,13.5833,85.33,16,95,7.63,overcast clouds
248,Georgetown,MY,5.4112,100.3354,84.88,74,20,1.01,few clouds
249,Sivakasi,IN,9.45,77.8167,82.72,81,98,9.95,overcast clouds
250,Mikhaylovskoye,RU,51.8239,79.7172,19.83,79,100,14.47,overcast clouds
251,Yining,CN,29.0361,114.5636,58.35,74,73,1.52,broken clouds
252,Lensk,RU,60.7253,114.9278,-15.03,89,100,14.72,overcast clouds
253,Rotnes,NO,60.0571,10.8614,39.74,97,99,3.33,overcast clouds
254,Ransang,PH,8.9603,117.5828,78.4,83,91,3.56,overcast clouds
255,Tasgaon,IN,17.0333,74.6,74.68,57,83,4.5,broken clouds
256,Morant Bay,JM,17.8815,-76.4093,85.62,74,26,9.82,scattered clouds
257,Halifax,CA,44.6453,-63.5724,30.22,56,20,8.99,few clouds
258,Fortuna,US,40.5982,-124.1573,44.94,86,90,15.01,moderate rain
259,Saint George,US,37.1041,-113.5841,37.87,77,1,7.0,clear sky
260,Yaguajay,CU,22.3272,-79.2378,78.01,76,9,16.67,clear sky
261,Ladario,BR,-19.0047,-57.6017,86.09,79,75,2.3,broken clouds
262,Buala,SB,-8.145,159.5921,80.33,83,100,8.66,moderate rain
263,Tatvan,TR,38.5067,42.2817,36.93,55,1,2.59,clear sky
264,East London,ZA,-33.0153,27.9116,68.94,83,40,21.85,scattered clouds
265,Punahana,IN,27.8667,77.2,59.61,42,0,3.4,clear sky
266,Kharod,IN,21.75,82.5667,65.79,42,99,0.98,overcast clouds
267,Mount Gambier,AU,-37.8333,140.7667,49.78,95,0,2.13,clear sky
268,Codrington,AU,-38.2667,141.9667,52.34,89,0,5.12,clear sky
269,Ponta Delgada,PT,37.7333,-25.6667,67.5,72,20,5.75,few clouds
270,Huron,US,41.1501,-82.5499,52.52,71,100,17.9,overcast clouds
271,Yuzhno-Kurilsk,RU,44.0306,145.8556,35.55,67,19,11.01,few clouds
272,Mulchen,CL,-37.7167,-72.2333,71.46,23,0,4.07,clear sky
273,Severo-Kurilsk,RU,50.6789,156.125,26.15,67,94,15.77,overcast clouds
274,Dothan,US,31.2232,-85.3905,58.37,96,90,1.99,mist
275,Vila Velha,BR,-20.3297,-40.2925,80.55,87,75,11.01,broken clouds
276,Kodiak,US,57.79,-152.4072,21.11,82,30,6.4,scattered clouds
277,Moron,AR,-34.6534,-58.6198,74.89,89,100,7.83,overcast clouds
278,Kiunga,PG,-6.1219,141.2906,74.28,98,100,1.5,overcast clouds
279,Baishishan,CN,43.5833,127.5667,15.84,92,100,1.59,overcast clouds
280,Teguldet,RU,57.3064,88.1667,3.0,91,99,9.78,overcast clouds
281,Opotiki,NZ,-38.0833,177.2833,66.38,96,89,8.01,overcast clouds
282,Broome,US,42.2506,-75.833,41.83,63,75,1.99,broken clouds
283,Shubarshi,KZ,48.5872,57.1869,25.03,84,100,10.18,overcast clouds
284,Terrace,CA,54.5163,-128.6035,18.43,79,75,24.16,light shower snow
285,Kyra,RU,49.5776,111.9753,-2.92,57,59,11.83,broken clouds
286,Martapura,ID,-3.4167,114.85,77.09,94,40,1.14,mist
287,Sal Rei,CV,16.1833,-22.9167,77.2,65,75,14.97,broken clouds
288,Coahuayana,MX,18.7333,-103.6833,81.88,57,0,1.41,clear sky
289,Abrau-Dyurso,RU,44.69,37.59,43.48,67,90,6.71,overcast clouds
290,Gravelbourg,CA,49.8834,-106.5512,5.27,85,100,14.63,overcast clouds
291,Saiha,IN,22.4833,92.9667,57.83,71,99,3.33,overcast clouds
292,Bonavista,CA,48.6499,-53.1147,25.12,76,100,28.1,light snow
293,Corinto,GR,37.9407,22.9573,53.89,76,51,5.28,broken clouds
294,Grindavik,IS,63.8424,-22.4338,41.47,87,75,27.63,broken clouds
295,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,64,70,2.93,broken clouds
296,Nador,MA,35.174,-2.9287,60.87,77,75,10.36,broken clouds
297,Sibiti,CG,-3.6819,13.3499,79.45,82,84,2.82,light rain
